lfdn;age;sex;v_3;education;relation;kldb;e1;a1r;c1;n1;o1;e2r;a2;c2r;n2r;o2;e3;a3r;c3;n3;o3;e4;a4;c4r;n4;o4;e5r;a5;c5r;n5r;o5;e6;a6r;c6;n6;o6;e7r;a7;c7;n7r;o7r;e8;a8r;c8;n8;o8;o9r;a9;c9r;o10;status;charisma;classes;a1;e2;c2;n2;a3;c4;e5;c5;n5;a6;e7;n7;o7;a8;o9;c9;extr_mean;open_mean;con_mean;agree_mean;neuro_mean
37;26;2;-99;4;7;8;4;2;5;2;4;3;4;4;4;5;4;1;5;3;4;5;4;2;4;5;4;4;4;4;4;4;3;4;4;5;4;5;5;5;5;4;1;5;2;4;1;4;4;4;2;-77;-77;4;3;2;2;5;4;2;2;2;3;2;1;1;5;5;2;3,5;4,1;3,77777777777778;4,22222222222222;2,5
38;23;2;-99;4;1;0;4;1;4;3;2;4;4;2;3;5;3;1;5;2;4;5;5;4;4;5;2;5;5;4;2;3;4;4;2;5;4;5;3;4;4;3;2;3;4;5;2;4;4;4;2;-77;-77;5;2;4;3;5;2;4;1;2;2;2;2;2;4;4;2;3,25;3,8;3,11111111111111;4,33333333333333;2,75
39;20;2;-99;2;1;0;5;1;4;1;3;3;5;3;4;4;5;1;5;2;3;4;5;2;3;4;1;5;4;5;3;4;2;5;2;3;2;5;4;4;3;5;1;4;2;3;3;5;3;4;2;-77;-77;5;3;3;2;5;4;5;2;1;4;4;2;3;5;3;3;4,375;3,3;3,77777777777778;4,88888888888889;1,875
40;19;1;-99;2;1;6;1;3;4;4;2;5;4;3;3;2;3;1;5;5;2;1;4;5;4;4;5;4;4;4;2;2;4;4;4;2;5;4;4;3;4;1;3;3;2;4;4;4;3;1;1;13;5;3;1;3;3;5;1;1;2;2;2;1;3;2;3;2;3;1,375;2,3;3,22222222222222;3,66666666666667;3,375
41;21;2;-99;2;1;1;5;2;4;3;3;1;4;1;2;4;4;4;4;4;4;5;5;4;4;3;2;4;4;3;4;3;1;4;4;2;3;5;4;4;3;4;2;3;2;4;2;4;4;3;2;-77;-77;4;5;5;4;2;2;4;2;3;5;3;2;3;4;4;2;4,125;3,4;3,33333333333333;4,11111111111111;3,25
42;20;1;-99;2;2;3;5;3;4;1;5;2;5;5;5;5;5;2;4;3;4;5;5;3;5;5;3;5;4;2;3;5;2;3;3;5;3;5;2;4;3;5;3;5;4;5;1;5;5;5;1;14;1;3;4;1;1;4;3;3;2;4;4;3;2;3;3;5;1;4,375;4,5;2,77777777777778;4,33333333333333;2,875
43;28;1;-99;5;1;8;2;1;5;3;4;4;5;3;2;3;2;1;5;1;4;2;5;4;5;4;5;4;3;4;4;2;2;3;1;4;5;4;4;4;3;1;3;4;4;4;5;4;2;4;2;-77;-77;5;2;3;4;5;2;1;3;2;4;1;2;3;3;1;4;1,625;3,5;3,66666666666667;4,33333333333333;2,75
44;22;2;-99;2;7;8;5;4;5;2;5;1;5;4;5;5;4;1;5;3;4;5;5;2;2;5;1;5;2;5;5;5;1;3;4;5;1;5;5;5;3;5;1;4;1;5;5;5;1;5;2;-77;-77;2;5;2;1;5;4;5;4;1;5;5;1;3;5;1;5;4,875;4,3;4,11111111111111;4,66666666666667;1,875
45;31;1;-99;4;1;0;4;3;5;2;5;4;5;3;4;5;5;1;4;3;5;5;4;2;2;5;3;3;2;4;5;3;2;5;1;5;4;5;4;5;2;3;1;5;4;5;2;4;1;5;2;-77;-77;3;2;3;2;5;4;3;4;2;4;2;1;4;5;4;5;3,375;4,8;4,33333333333333;4,22222222222222;2,125
46;32;2;-99;4;7;7;4;3;4;2;5;4;5;5;4;2;4;1;5;1;2;5;4;1;3;2;3;5;1;4;4;4;4;4;1;4;4;5;4;4;3;2;1;4;2;4;2;5;5;2;2;-77;-77;3;2;1;2;5;5;3;5;2;2;2;2;3;5;4;1;3,25;3,2;3,66666666666667;4,33333333333333;1,875
47;24;1;-99;5;1;7;4;3;4;4;4;3;2;4;4;5;4;2;4;4;5;4;2;5;4;2;1;1;3;2;2;4;5;5;4;5;3;3;4;4;4;5;5;3;1;5;1;2;4;5;2;-77;-77;3;3;2;2;4;1;5;3;4;1;3;2;2;1;5;2;4;4;3,11111111111111;2,11111111111111;3,125
49;25;3;-99;2;1;6;3;1;2;4;5;3;5;5;5;5;3;1;3;3;4;4;4;5;2;5;3;5;5;3;4;2;5;2;4;5;4;5;3;4;2;5;1;3;3;5;4;3;5;3;2;-77;-77;5;3;1;1;5;1;3;1;3;1;2;2;4;5;2;1;3,125;4,2;1,88888888888889;4,22222222222222;2,75
50;30;2;-99;4;3;7;3;4;5;4;5;5;5;4;3;5;4;2;5;4;5;5;5;4;4;5;4;5;4;4;5;4;2;5;5;5;4;5;5;3;1;5;4;5;5;5;4;5;4;1;2;-77;-77;2;1;2;3;4;2;2;2;2;4;2;3;5;2;2;2;3,25;4,3;3,66666666666667;4,11111111111111;3,75
51;30;2;-99;4;2;0;2;1;4;2;4;3;4;2;4;4;4;2;4;3;4;4;3;1;4;5;5;4;4;4;4;3;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;1;12;3;5;3;4;2;4;5;1;2;2;2;2;2;2;2;2;2;2,75;3,7;3,66666666666667;3,55555555555556;2,875
52;39;2;-99;3;3;8;4;1;5;3;4;3;5;1;4;4;3;1;5;3;4;3;5;2;4;5;3;3;3;4;4;3;3;5;3;3;4;5;5;3;3;3;2;5;3;4;4;4;3;4;2;-77;-77;5;3;5;2;5;4;3;3;2;3;2;3;3;4;2;3;3;3,7;4,44444444444444;4,33333333333333;2,875
53;30;1;-99;3;1;7;4;1;5;2;3;1;5;3;5;5;3;1;5;1;3;2;5;2;3;4;4;4;4;5;3;4;4;2;1;5;4;5;4;5;4;2;1;4;3;4;3;4;2;2;1;14;2;5;5;3;1;5;4;2;2;1;2;2;1;2;5;3;4;3;3,4;3,66666666666667;4,44444444444444;1,625
54;22;2;-99;1;7;7;5;4;4;2;5;2;5;4;3;5;2;4;5;3;4;4;5;3;5;4;1;5;5;4;2;4;5;4;4;3;4;3;4;4;5;5;4;4;3;5;4;5;3;4;1;12;4;2;4;2;3;2;3;5;1;2;1;2;2;1;2;2;3;3,875;3,5;3,33333333333333;3,33333333333333;3
55;30;2;-99;2;1;0;1;3;4;3;2;4;4;4;3;4;2;1;4;4;2;2;4;5;2;2;4;4;5;4;2;1;4;4;2;2;4;4;4;4;3;1;4;3;2;4;2;3;4;2;1;4;5;3;2;2;3;5;1;2;1;2;2;2;2;3;2;4;2;1,625;2,7;2,77777777777778;3,44444444444444;2,5
56;16;1;-99;1;1;0;4;3;4;1;2;2;4;4;4;4;2;1;4;2;4;1;4;1;4;2;3;4;4;4;3;2;1;2;3;4;4;2;3;4;5;4;4;5;2;3;4;1;4;2;1;12;4;3;4;2;2;5;5;3;2;2;5;2;2;1;2;2;2;2,75;2,7;3,22222222222222;3,33333333333333;2,25
58;34;1;-99;5;3;7;4;4;4;2;5;3;2;4;3;5;4;4;5;5;5;5;2;4;4;5;1;3;4;2;5;4;4;4;4;5;2;1;5;2;1;4;5;4;2;4;1;3;2;4;1;10;3;2;3;2;3;2;2;5;2;4;2;4;4;5;1;5;4;4,125;4,8;3,55555555555556;2;3,5
60;26;1;-99;4;2;4;5;3;4;4;5;4;2;5;2;5;1;4;5;4;5;5;3;4;5;5;2;3;2;4;5;5;5;5;4;3;4;4;5;2;5;4;4;5;5;5;4;4;5;1;1;10;1;3;2;1;4;2;2;4;4;2;1;2;4;1;2;2;1;3,5;3,7;3,55555555555556;2,66666666666667;4
61;19;1;-99;2;1;6;5;3;5;5;4;5;5;5;1;5;3;1;5;5;4;5;5;5;5;5;2;5;5;2;1;4;3;5;4;5;2;5;5;5;1;5;4;2;5;5;1;5;5;4;1;16;1;3;1;1;5;5;1;4;1;4;3;4;1;5;2;5;1;3,875;4,3;2,88888888888889;4,22222222222222;4,25
62;57;2;-99;6;3;8;3;3;5;1;4;3;5;1;3;5;5;1;5;4;5;4;5;1;4;3;2;5;1;5;5;4;1;5;1;5;2;5;5;5;4;4;1;5;1;3;3;5;3;4;2;-77;-77;3;3;5;3;5;5;4;5;1;5;4;1;2;5;3;3;3,875;3,9;4,77777777777778;4,77777777777778;2
63;29;1;-99;4;1;8;3;4;5;4;3;5;4;1;4;4;2;1;5;4;5;2;1;2;4;2;5;4;1;1;3;5;3;5;3;4;4;4;4;5;1;2;3;4;4;5;2;4;1;5;1;15;3;2;1;5;2;5;4;1;5;5;3;2;1;5;3;4;5;2,25;4;4,66666666666667;3,33333333333333;3,375
64;32;1;-99;3;7;3;4;4;3;2;4;3;4;4;2;5;3;2;5;4;3;5;2;3;5;5;4;4;4;4;4;2;2;3;4;2;5;5;3;2;5;4;4;5;4;4;2;5;4;1;1;11;4;2;3;2;4;4;3;2;2;2;4;1;4;1;2;4;2;3;3,3;3,11111111111111;3,55555555555556;3,625
65;22;2;-99;3;7;7;4;3;4;4;4;4;5;4;2;4;3;1;5;4;4;4;4;5;4;4;2;5;5;1;3;4;5;2;5;5;4;3;2;1;4;2;4;1;5;4;5;1;5;5;2;-77;-77;3;2;2;4;5;1;4;1;5;1;2;5;2;2;1;1;3,125;3,6;2,11111111111111;3,22222222222222;4,5
66;29;1;-99;2;7;0;5;4;4;5;5;1;4;3;2;5;3;3;4;4;3;4;2;4;3;3;1;4;4;2;4;5;4;2;5;4;1;4;4;4;2;5;4;4;3;4;4;4;4;2;1;13;5;2;5;3;4;3;2;5;2;4;2;5;2;4;2;2;2;4,625;3,6;3;3;3,75
67;21;2;-99;2;7;8;4;2;4;2;5;3;4;2;2;5;3;3;4;4;4;3;1;5;4;5;3;2;4;2;4;3;4;2;5;5;4;3;3;4;3;2;4;3;4;5;2;4;4;5;1;14;5;4;3;4;4;3;1;3;2;4;2;2;2;3;2;4;2;2,875;4,5;2,77777777777778;2,77777777777778;3,625
68;24;1;-99;1;2;3;2;2;4;1;4;4;4;3;5;4;4;1;4;3;4;2;4;4;1;4;4;4;4;5;4;4;4;4;1;3;5;5;5;4;5;2;2;4;3;4;2;4;2;5;1;12;3;4;2;3;1;5;2;2;2;1;2;1;2;1;4;4;4;2,375;3,7;3,55555555555556;4;1,625
